2020.06.23 07:59:09 INFO  started: Metals version 0.9.0 in workspace '/Users/maxgrok/Desktop/blog'
2020.06.23 07:59:16 INFO  time: initialize in 6.36s
2020.06.23 07:59:22 WARN  no build tool detected in workspace '/Users/maxgrok/Desktop/blog'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.25 13:17:46 INFO  started: Metals version 0.9.0 in workspace '/Users/maxgrok/Desktop/blog'
2020.06.25 13:17:52 INFO  time: initialize in 5.55s
2020.06.25 13:18:01 WARN  no build tool detected in workspace '/Users/maxgrok/Desktop/blog'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.26 07:01:36 INFO  shutting down Metals
2020.06.30 08:23:48 INFO  started: Metals version 0.9.0 in workspace '/Users/maxgrok/Desktop/blog'
2020.06.30 08:23:53 INFO  time: initialize in 5.01s
2020.06.30 08:23:57 WARN  no build tool detected in workspace '/Users/maxgrok/Desktop/blog'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.01 17:52:39 INFO  shutting down Metals
